popularity,budget,cast,release_date,voteScore,revenue
0.597254,25000000,10,1,375,19829957
0.59643,30000000,15,3,550,967000
0.59643,30000000,15,3,550,967000
0.591206,25000000,54,1,390,15478800
0.579188,21000000,70,3,670,49050886
0.564203,7000000,42,2,624,382946
0.554061,5000000,40,5,702,1000000
0.552065,50000000,60,5,300,83761844
0.535535,70000000,72,1,1625,134748021
0.534192,18000000,9,5,210,871279
0.514465,8000000,15,4,276,18124262
0.513857,5000000,42,1,555,2614773
0.512957,20000000,30,2,1920,54956140
0.498635,5000000,62,4,438,5129058
0.495162,20000000,81,1,420,39300000
0.470249,80000000,50,4,730,201584141
0.455662,5773100,6,5,270,18144030
0.443893,2500000,50,1,1266,324138
0.443807,20000000,32,4,96,346594
0.406941,15000000,42,4,245,20529194
0.393626,27000000,6,2,672,16504936
0.375979,31000000,64,2,220,15134293
0.368927,10000000,11,2,2165,33583175
0.312595,14000000,35,3,130,21409028
0.332904,100000,1,2,133,1000000
0.328667,30000000,67,1,420,8454301
0.3261,80000000,48,2,1656,74901339
0.318587,4600000,15,5,185,1163967
0.315527,4000000,41,1,216,55125
0.346071,30000,5,1,750,3045943
0.302377,35000000,31,3,300,39340177
0.301054,12500000,42,1,258,1083683
0.29666,2500000,18,2,210,52604
0.283241,20000000,22,1,276,4634062
0.275607,30000,67,2,270,617000
0.27519,3000000,5,1,150,103735
0.271381,12500000,19,3,60,3878993
0.2596,650000,12,1,858,33245
0.25054,425000000,39,4,444,11087569
0.246578,10000000,57,1,450,4349187
0.241541,10000000,39,2,105,55089
0.240403,967686,7,5,1834,4270000
0.216503,1500000,1,2,161,187716
0.214381,7000000,61,2,90,453079
0.385851,4500000,38,1,184,123820
0.181532,7000000,5,4,264,3218666
0.140251,20000000,16,3,126,60072596
0.131526,60000000,28,1,4410,296221663
0.276322,10000000,41,1,332,1068682
0.028227,10000000,8,4,44,5000000
0.06324,35000000,48,2,312,60251371
0.028456,3,5,2,182,43
8.947905,63000000,84,1,47384,100853753
7.753899,63000000,68,3,44457,463517383
3.55572,15000000,49,1,12292,356296601
3.526029,115000000,82,5,16938,924317558
2.94377,80000000,48,5,9372,415885488
2.719461,60000000,79,4,18392,284600000
2.578731,40000000,68,2,12271,672806292
2.129874,135000000,39,4,3054,361832400
2.069357,10500000,49,3,3030,75902208
2.065619,100000000,61,4,5592,206071502
1.825695,11000000,25,5,8430,235483004
1.820318,66000000,71,3,1775,212404396
1.810197,90000000,65,1,15904,485015179
1.769152,16000000,43,3,6629,53478166
