popularity,budget,cast,release_date,voteScore,revenue,runtime,release_year,genres
1.545055,50000000,0,1,3717,97437106,95.0,2014.0,"['Romance', 'Animation', 'Adventure', 'Comedy', 'Family']"
1.542392,13000000,0,1,3717,54837234,102.0,2014.0,['Comedy']
1.541069,66000000,0,3,6702,203277636,130.0,2014.0,"['Action', 'Crime', 'Drama', 'Thriller']"
1.449046,22000000,1,2,2464,88880821,122.0,2014.0,['Drama']
1.440084,60000000,1,1,2988,108255770,97.0,2014.0,"['Animation', 'Comedy', 'Family', 'Fantasy']"
1.398713,10000000,2,4,4260,28883511,105.0,2014.0,['Drama']
1.394382,18000000,0,2,660,266586800,93.0,2014.0,"['Thriller', 'Action']"
1.319416,4000000,0,3,2000,600896,95.0,2014.0,"['Thriller', 'Science Fiction']"
1.3155,50000000,0,2,2860,160602194,89.0,2014.0,"['Action', 'Thriller']"
1.240895,50000000,0,5,1115,151165787,83.0,2014.0,"['Animation', 'Comedy', 'Adventure', 'Family']"
1.214094,35000000,0,3,2110,17508518,110.0,2014.0,"['Action', 'Drama', 'Thriller', 'Crime']"
1.146492,13200000,0,1,525,53830415,84.0,2014.0,['Thriller']
1.142614,5000000,1,4,5075,41797583,99.0,2014.0,['Drama']
1.140302,5000000,0,2,3006,40100000,93.0,2014.0,"['Horror', 'Thriller']"
1.136851,24000000,1,5,3870,12096300,134.0,2014.0,"['Drama', 'Thriller']"
1.077877,20000000,0,2,2142,34077920,103.0,2014.0,"['Drama', 'Romance']"
1.052381,12250000,0,5,984,2295423,100.0,2014.0,"['Crime', 'Drama']"
1.041267,24000000,0,5,1050,70181428,106.0,2014.0,"['Comedy', 'Romance']"
1.039133,15000000,0,4,966,9104716,107.0,2014.0,"['Drama', 'Romance', 'War']"
1.027357,15000000,0,5,2010,59209,95.0,2014.0,['Comedy']
1.018115,6500000,0,1,4135,255273813,99.0,2014.0,['Horror']
0.989916,65000000,0,2,2505,71154592,92.0,2014.0,"['Horror', 'Thriller']"
0.988081,8000000,0,2,4278,26049082,94.0,2014.0,"['Comedy', 'Romance']"
0.98174,27000000,0,3,1242,28831145,109.0,2014.0,['Drama']
0.979655,28000000,0,3,2380,68896829,90.0,2014.0,"['Action', 'Crime', 'Drama']"
0.967846,2000000,0,5,6534,6676471,93.0,2014.0,"['Drama', 'Thriller', 'Horror']"
0.966048,20000000,3,5,1905,100525432,97.0,2014.0,['Comedy']
0.92537,60000000,3,2,1635,30800231,118.0,2014.0,"['Drama', 'Fantasy', 'Mystery', 'Romance']"
0.916435,5000000,0,1,2412,2367161,99.0,2014.0,"['Mystery', 'Thriller', 'Action']"
0.893121,22500000,1,4,1722,15520023,112.0,2014.0,"['War', 'Drama']"
0.890965,5000000,0,1,776,6833445,100.0,2014.0,"['Horror', 'Thriller']"
0.876514,28000000,0,1,2280,100654149,81.0,2014.0,"['Family', 'Comedy']"
0.876066,19800000,0,1,2262,41296320,103.0,2014.0,"['Drama', 'Comedy']"
0.870104,16000000,6,5,900,2429989,122.0,2014.0,"['Western', 'Drama']"
0.805839,8500000,0,1,1305,7500000,90.0,2014.0,"['Action', 'Adventure']"
0.797723,40000000,1,5,1086,67347013,134.0,2014.0,"['Music', 'Drama']"
0.796721,12500000,0,2,825,49002684,100.0,2014.0,"['Comedy', 'Romance']"
0.786398,25000000,0,5,1092,38307627,124.0,2014.0,['Drama']
0.778247,5500000,0,2,1152,5483299,120.0,2014.0,"['Drama', 'Comedy']"
0.777096,6700000,0,2,532,1430655,87.0,2014.0,"['Comedy', 'Drama']"
